# LBG mean spectra from astro-ph/0112262
# lambda (A)  Flam W/m^2/A
1350.13  5.57729617272267e-21  
1350.9  5.57093997443114e-21  
1351.67  5.56459463576918e-21  
1351.67  5.69231138145066e-21  
1353.22  5.67927871922174e-21  
1353.22  5.6974798553566e-21  
1353.99  5.69100150315145e-21  
1353.99  5.6182633774049e-21  
1354.76  5.61187872860166e-21  
1355.53  5.60550495698258e-21  
1355.53  5.75063452201511e-21  
1357.07  5.73759031310567e-21  
1357.07  5.75568832269022e-21  
1357.84  5.74916233524017e-21  
1357.84  5.62261990894984e-21  
1358.61  5.61624841092044e-21  
1358.61  5.43564586270889e-21  
1360.16  5.42326430392483e-21  
1360.16  5.44129639301069e-21  
1360.93  5.43514087736984e-21  
1360.93  5.45313636992916e-21  
1361.7  5.44697094755216e-21  
1361.7  5.4829212405608e-21  
1363.24  5.47054054538021e-21  
1363.24  5.50640966092891e-21  
1364.01  5.50019454712224e-21  
1364.78  5.49398994992812e-21  
1364.78  5.45820173719567e-21  
1365.56  5.45196813126902e-21  
1365.56  5.41622079090181e-21  
1367.1  5.40402522060355e-21  
1367.1  5.42185864508639e-21  
1367.87  5.41575622875904e-21  
1367.87  5.34448678478944e-21  
1368.64  5.33847483541138e-21  
1368.64  5.14273235967143e-21  
1370.18  5.13117861178458e-21  
1370.18  5.07791859237342e-21  
1370.95  5.07221612432912e-21  
1370.95  5.17861654187228e-21  
1371.73  5.1727288344179e-21  
1371.73  5.43845934160794e-21  
1372.5  5.43235888401167e-21  
1372.5  5.5031482974509e-21  
1374.04  5.49081954552642e-21  
1374.04  5.52612701219625e-21  
1374.81  5.51993862805335e-21  
1374.81  5.48467070013578e-21  
1375.58  5.47853217755957e-21  
1375.58  5.58421754419107e-21  
1377.12  5.57173513655404e-21  
1377.12  5.64205037418172e-21  
1377.89  5.63574629343013e-21  
1377.89  5.58306483933806e-21  
1378.66  5.57683014853241e-21  
1378.66  5.40145823055108e-21  
1380.2  5.38941127357726e-21  
1380.2  5.2669200007786e-21  
1380.97  5.26104818928136e-21  
1380.97  5.34844890791229e-21  
1381.75  5.3424121969918e-21  
1381.75  5.4646288108684e-21  
1382.52  5.45854341258282e-21  
1382.52  5.40621422348771e-21  
1384.06  5.39419026772802e-21  
1384.06  5.23758317775534e-21  
1384.83  5.23176034341531e-21  
1385.6  5.22594721390322e-21  
1385.6  5.27804402024919e-21  
1387.14  5.26633117822542e-21  
1387.14  5.23168744237162e-21  
1387.92  5.22580876126604e-21  
1387.92  5.19118837975762e-21  
1388.69  5.18543316172378e-21  
1388.69  5.08173383236234e-21  
1390.23  5.07048168613498e-21  
1390.23  4.93250654437448e-21  
1391  4.92704719308319e-21  
1391  4.53080577048408e-21  
1391.77  4.52579379958097e-21  
1391.77  4.28488296711463e-21  
1392.54  4.28014565587033e-21  
1392.54  4.05667348746733e-21  
1394.09  4.0476577877941e-21  
1394.09  4.08195696369088e-21  
1394.86  4.07745150891758e-21  
1394.86  4.19738154184122e-21  
1395.63  4.19275124268073e-21  
1395.63  4.4323467093129e-21  
1397.17  4.4225811802356e-21  
1397.17  4.62748527154332e-21  
1397.94  4.62238894073492e-21  
1397.94  4.84413797513094e-21  
1398.71  4.83880597700608e-21  
1398.71  4.99214966180724e-21  
1399.48  4.98665776801938e-21  
1399.48  4.88453600185723e-21  
1401.03  4.87373417351989e-21  
1401.03  4.63598209659185e-21  
1401.8  4.63089046325515e-21  
1401.8  4.47822206701161e-21  
1402.57  4.47330639868044e-21  
1402.57  4.35470651505948e-21  
1404.11  4.34515944197649e-21  
1404.11  4.42968792075339e-21  
1404.88  4.42483352041919e-21  
1404.88  4.57683324287337e-21  
1405.65  4.57182033589362e-21  
1405.65  4.99358271115583e-21  
1407.2  4.98258812552095e-21  
1407.2  5.30241754336748e-21  
1407.97  5.2966194864811e-21  
1407.97  5.41432651358661e-21  
1408.74  5.40840932227416e-21  
1408.74  5.34121519345715e-21  
1409.51  5.3353810917799e-21  
1409.51  5.30182827490634e-21  
1411.05  5.29026190934695e-21  
1411.82  5.28449291494844e-21  
1411.82  5.35139418466301e-21  
1412.59  5.34556170607549e-21  
1412.59  5.46248501536595e-21  
1414.14  5.45051701837552e-21  
1414.14  5.46718375221918e-21  
1414.91  5.46123484237703e-21  
1414.91  5.34469465241716e-21  
1415.68  5.33888218677753e-21  
1415.68  5.27234524635117e-21  
1417.22  5.26089324840678e-21  
