# LBG mean spectra from astro-ph/0112262
# lambda (A)  Flam W/m^2/A
1392.54  3.98546252234729e-21  
1394.09  3.97660508452997e-21  
1394.09  4.06511609919791e-21  
1394.86  4.06062923250723e-21  
1394.86  4.32586919475363e-21  
1395.63  4.3210971557333e-21  
1395.63  4.58604452118757e-21  
1397.17  4.57594035875205e-21  
1397.17  4.8931705584651e-21  
1397.94  4.88778162378361e-21  
1398.71  4.88240158659505e-21  
1398.71  4.75931261080516e-21  
1399.48  4.75407686245375e-21  
1399.48  4.66624632290467e-21  
1401.03  4.6559272277561e-21  
1401.03  4.67345754610506e-21  
1401.8  4.66832475401406e-21  
1401.8  4.70333161727271e-21  
1402.57  4.69816885001015e-21  
1402.57  4.71566069346048e-21  
1404.11  4.70532227981095e-21  
1404.11  4.93217206587863e-21  
1404.88  4.92676700390738e-21  
1404.88  5.29282793549379e-21  
1405.65  5.28703081493193e-21  
1405.65  5.32184617696218e-21  
1407.2  5.3101288395488e-21  
1407.2  5.32750576827174e-21  
1407.97  5.3216802780582e-21  
1407.97  5.33903820555756e-21  
1408.74  5.33320329508301e-21  
1408.74  5.50656263575198e-21  
1409.51  5.50054792839691e-21  
1409.51  5.41396293651888e-21  
1411.05  5.40215194016029e-21  
1411.05  5.21207750726098e-21  
1411.82  5.20639377241774e-21  
1411.82  5.08558016341911e-21  
1412.59  5.08003739523857e-21  
1412.59  5.09726693264977e-21  
1414.14  5.08609910790741e-21  
1414.14  5.17211805647584e-21  
1414.91  5.16649021124411e-21  
1415.68  5.16087154660875e-21  
