# LBG mean spectra from astro-ph/0112262
# lambda (A)  Flam W/m^2/A
1429.56  4.08385658687187e-21  
1429.56  4.18257740997884e-21  
1431.1  4.17358054944446e-21  
1431.1  4.22284210919142e-21  
1431.88  4.21824267388827e-21  
1431.88  4.16903476884853e-21  
1432.65  4.16455454814187e-21  
1432.65  4.21370957229016e-21  
1434.19  4.20466526322113e-21  
1434.19  4.3027497137153e-21  
1434.96  4.29813323887327e-21  
1435.73  4.29352418965932e-21  
1435.73  4.24457983894078e-21  
1436.5  4.2400306561722e-21  
1436.5  4.04449215659217e-21  
1438.05  4.03577815590138e-21  
1438.05  3.98699160122343e-21  
1438.82  3.98272538020122e-21  
1438.82  4.08017959157115e-21  
1439.59  4.07581599072974e-21  
1439.59  4.22184821020154e-21  
1441.13  4.21283004751672e-21  
1441.13  4.26140829063788e-21  
1441.9  4.25685817169487e-21  
1441.9  4.25685817169487e-21  
1441.9  4.15981985378588e-21  
1442.67  4.15538057592149e-21  
1442.67  4.05843140130445e-21  
1444.22  4.04972470424243e-21  
1444.22  4.14646589035102e-21  
1444.99  4.14204796627053e-21  
1444.99  4.23867170995968e-21  
1445.76  4.2341579482204e-21  
1446.53  4.22965139270169e-21  
1446.53  4.08501704601775e-21  
1448.07  4.07633296154727e-21  
1448.07  4.02821923345342e-21  
