#J	G0202	
#scanned warm
#Wavelength (Ang) transmission
17600.0 0.00010461
17610.0 0.00014923
17620.0 0.00011612
17630.0 0.00012952
17640.0 0.00016217
17650.0 0.00014589
17660.0 0.00014861
17670.0 0.00014989
17680.0 0.00012565
17690.0 0.00011892
17700.0 0.00015376
17710.0 0.00016302
17720.0 0.00018182
17730.0 0.00010806
17740.0 0.00017744
17750.0 0.00019049
17760.0 0.00013359
17770.0 0.00013366
17780.0 0.0001695 
17790.0 0.00017099
17800.0 0.00015742
17810.0 0.00018203
17820.0 0.00016621
17830.0 0.00017457
17840.0 0.00016987
17850.0 0.00012457
17860.0 0.0001164 
17870.0 0.00014161
17880.0 4.9538e-05
17890.0 0.00013299
17900.0 0.00017848
17910.0 0.00016697
17920.0 0.000124  
17930.0 0.00013495
17940.0 0.00014717
17950.0 0.00017419
17960.0 0.0001879 
17970.0 0.00017941
17980.0 0.00011455
17990.0 0.00016181
18000.0 0.00020259
18010.0 0.00018233
18020.0 0.00011257
18030.0 0.00015297
18040.0 0.00016093
18050.0 0.00016954
18060.0 0.00014955
18070.0 0.0001786 
18080.0 0.00021537
18090.0 0.00014571
18100.0 0.00013701
18110.0 0.00013803
18120.0 0.00012433
18130.0 9.0875e-05
18140.0 6.0229e-05
18150.0 0.00022074
18160.0 0.00012972
18170.0 0.00014436
18180.0 0.00012882
18190.0 0.00017508
18200.0 7.8818e-05
18210.0 0.00014083
18220.0 0.00012472
18230.0 0.00013577
18240.0 9.8514e-05
18250.0 0.00011703
18260.0 0.00017056
18270.0 0.00017404
18280.0 0.00019037
18290.0 0.00011999
18300.0 0.00017771
18310.0 0.00012089
18320.0 0.0001293 
18330.0 8.7248e-05
18340.0 0.0001276 
18350.0 0.00018374
18360.0 0.00014585
18370.0 0.00013639
18380.0 0.00018028
18390.0 0.00011796
18400.0 0.00017394
18410.0 0.00014624
18420.0 0.00016913
18430.0 0.00023252
18440.0 0.00017545
18450.0 0.00015073
18460.0 0.00013004
18470.0 0.00020126
18480.0 0.00010214
18490.0 0.00012642
18500.0 0.00010213
18510.0 0.00011257
18520.0 0.00014772
18530.0 0.00018932
18540.0 9.2336e-05
18550.0 0.00011185
18560.0 0.00019952
18570.0 0.0001317 
18580.0 9.3692e-05
18590.0 0.00013507
18600.0 0.00016296
18610.0 0.00014532
18620.0 7.4901e-05
18630.0 0.00012344
18640.0 0.00014337
18650.0 0.00016554
18660.0 0.000164  
18670.0 0.00013811
18680.0 0.00012127
18690.0 0.00019738
18700.0 9.3354e-05
18710.0 0.0001723 
18720.0 0.00016222
18730.0 0.00014732
18740.0 0.00016751
18750.0 0.00013647
18760.0 0.00015795
18770.0 0.00013441
18780.0 0.00013329
18790.0 0.00011579
18800.0 0.00016012
18810.0 0.00017693
18820.0 0.00014182
18830.0 0.00019546
18840.0 0.00013268
18850.0 0.00016288
18860.0 0.00010432
18870.0 0.0001512 
18880.0 0.00011813
18890.0 0.00018761
18900.0 0.00017702
18910.0 0.00013139
18920.0 0.00012931
18930.0 0.00016404
18940.0 6.6694e-05
18950.0 7.4007e-05
18960.0 0.00015282
18970.0 0.00013657
18980.0 0.00013379
18990.0 0.00017518
19000.0 0.00012559
19010.0 0.00012453
19020.0 0.00016233
19030.0 6.9355e-05
19040.0 0.00018516
19050.0 0.00010285
19060.0 0.00014164
19070.0 0.00017463
19080.0 0.000133  
19090.0 0.00019729
19100.0 0.00018584
