#H	G0203
#scanned warm
#Wavelength (Ang) Transmission
15210.0 0.83259   
15220.0 0.83159   
15230.0 0.82957   
15240.0 0.82675   
15250.0 0.82384   
15260.0 0.82082   
15270.0 0.81803   
15280.0 0.81547   
15290.0 0.81328   
15300.0 0.81197   
15310.0 0.811     
15320.0 0.81051   
15330.0 0.81095   
15340.0 0.81178   
15350.0 0.81279   
15360.0 0.81444   
15370.0 0.81656   
15380.0 0.81899   
15390.0 0.82142   
15400.0 0.82416   
15410.0 0.82697   
15420.0 0.82976   
15430.0 0.83233   
15440.0 0.83502   
15450.0 0.83717   
15460.0 0.83917   
15470.0 0.84105   
15480.0 0.84219   
15490.0 0.84335   
15500.0 0.84403   
15510.0 0.84414   
15520.0 0.84461   
15530.0 0.84455   
15540.0 0.8439    
15550.0 0.84374   
15560.0 0.84294   
15570.0 0.84224   
15580.0 0.84141   
15590.0 0.84087   
15600.0 0.83996   
15610.0 0.83961   
15620.0 0.83954   
15630.0 0.83857   
15640.0 0.83892   
15650.0 0.83916   
15660.0 0.83914   
15670.0 0.83971   
15680.0 0.84086   
15690.0 0.84166   
15700.0 0.84269   
15710.0 0.84415   
15720.0 0.84556   
15730.0 0.8468    
15740.0 0.84862   
15750.0 0.85055   
15760.0 0.85226   
15770.0 0.85393   
15780.0 0.85596   
15790.0 0.85792   
15800.0 0.85949   
15810.0 0.86126   
15820.0 0.86304   
15830.0 0.86468   
15840.0 0.8661    
15850.0 0.86717   
15860.0 0.8688    
15870.0 0.86963   
15880.0 0.8702    
15890.0 0.87129   
15900.0 0.8717    
15910.0 0.87187   
15920.0 0.87234   
15930.0 0.87248   
15940.0 0.87263   
15950.0 0.87254   
15960.0 0.87257   
15970.0 0.87247   
15980.0 0.87209   
15990.0 0.872     
16000.0 0.87165   
16010.0 0.87136   
16020.0 0.87134   
16030.0 0.87134   
16040.0 0.87139   
16050.0 0.87111   
16060.0 0.87152   
16070.0 0.87189   
16080.0 0.87199   
16090.0 0.87252   
16100.0 0.87298   
16110.0 0.87354   
16120.0 0.8742    
16130.0 0.87492   
16140.0 0.87591   
16150.0 0.87651   
16160.0 0.87751   
16170.0 0.8783    
16180.0 0.87916   
16190.0 0.88      
16200.0 0.88061   
16210.0 0.88166   
16220.0 0.88186   
16230.0 0.88242   
16240.0 0.88266   
16250.0 0.88304   
16260.0 0.88288   
16270.0 0.88269   
16280.0 0.88223   
16290.0 0.88155   
16300.0 0.8806    
16310.0 0.8793    
16320.0 0.87788   
16330.0 0.87637   
16340.0 0.87467   
16350.0 0.87261   
16360.0 0.87042   
16370.0 0.86795   
16380.0 0.86556   
16390.0 0.86283   
16400.0 0.85989   
16410.0 0.85721   
16420.0 0.85432   
16430.0 0.85146   
16440.0 0.84861   
16450.0 0.84567   
16460.0 0.84316   
16470.0 0.84027   
16480.0 0.83777   
16490.0 0.83557   
16500.0 0.8333    
16510.0 0.83107   
16520.0 0.82951   
16530.0 0.82806   
16540.0 0.82651   
16550.0 0.82541   
16560.0 0.8248    
16570.0 0.8241    
16580.0 0.82379   
