#K	G0204
#scanned warm
#Wavelength (Ang) transmission
16520.0 0.00010542 
16530.0 6.7142e-05 
16540.0 8.8369e-05 
16550.0 7.102e-05  
16560.0 4.6497e-05 
16570.0 9.6167e-05 
16580.0 7.5559e-05 
16590.0 0.00010949 
16600.0 7.9638e-05 
16610.0 8.4464e-05 
16620.0 9.5389e-05 
16630.0 2.4938e-05 
16640.0 4.6032e-05 
16650.0 9.1982e-05 
16660.0 8.4969e-05 
16670.0 6.6828e-05 
16680.0 0.00010477 
16690.0 6.3145e-05 
16700.0 9.2619e-05 
16710.0 6.6473e-05 
16720.0 6.768e-05  
16730.0 8.8291e-05 
16740.0 0.00012969 
16750.0 8.8657e-05 
16760.0 9.2102e-05 
16770.0 9.7104e-05 
16780.0 8.822e-05  
16790.0 0.00013022 
16800.0 9.28e-05   
16810.0 7.2063e-05 
16820.0 5.4136e-05 
16830.0 0.00011297 
16840.0 5.6084e-05 
16850.0 3.2418e-05 
16860.0 8.4721e-05 
16870.0 9.2391e-05 
16880.0 4.4508e-05 
16890.0 3.8175e-05 
16900.0 6.8441e-05 
16910.0 5.0485e-05 
16920.0 0.00011206 
16930.0 6.8068e-05 
16940.0 5.9075e-05 
16950.0 0.00012621 
16960.0 8.3881e-05 
16970.0 5.081e-05  
16980.0 0.0001684  
16990.0 8.8062e-05 
17000.0 0.00011352 
17010.0 9.261e-05  
17020.0 5.8947e-05 
17030.0 0.0001178  
17040.0 0.00011811 
17050.0 0.00010926 
17060.0 6.7295e-05 
17070.0 8.0094e-05 
17080.0 6.6701e-05 
17090.0 5.846e-05  
17100.0 6.4171e-05 
17110.0 7.5298e-05 
17120.0 0.00010384 
17130.0 7.1969e-05 
17140.0 2.07e-07   
17150.0 6.3185e-05 
17160.0 6.2637e-05 
17170.0 0.00015573 
17180.0 5.0141e-05 
17190.0 0.00010054 
17200.0 0.00014302 
17210.0 6.3172e-05 
17220.0 8.3708e-05 
17230.0 7.5707e-05 
17240.0 9.6854e-05 
17250.0 0.00015116 
17260.0 0.00010493 
17270.0 7.9323e-05 
17280.0 6.8617e-05 
17290.0 0.00011283 
17300.0 0.00014946 
17310.0 0.00010096 
17320.0 0.00012964 
17330.0 8.8495e-05 
17340.0 7.1196e-05 
17350.0 0.00010017 
17360.0 9.1565e-05 
17370.0 5.076e-05  
17380.0 6.7076e-05 
17390.0 7.9864e-05 
17400.0 8.3364e-05 
17410.0 3.4065e-05 
17420.0 7.9689e-05 
17430.0 0.00012194 
17440.0 0.00013405 
17450.0 2.5273e-05 
17460.0 6.69e-05   
17470.0 7.1684e-05 
17480.0 5.879e-05  
17490.0 0.00011768 
17500.0 8.3016e-05 
17510.0 0.00013796 
17520.0 3.5018e-05 
17530.0 9.1908e-05 
17540.0 0.00014995 
17550.0 1.2996e-05 
17560.0 5.6737e-05 
17570.0 7.2503e-05 
17580.0 6.2079e-05 
17590.0 0.00011825 
17600.0 0.00012919 
17610.0 9.6749e-05 
17620.0 7.54e-05   
17630.0 8.3707e-05 
17640.0 4.1148e-06 
17650.0 0.00015512 
17660.0 8.7806e-05 
17670.0 7.5928e-05 
17680.0 9.619e-05  
17690.0 5.0229e-05 
17700.0 5.9265e-05 
17710.0 0.0001004  
17720.0 6.6302e-05 
17730.0 0.00010448 
17740.0 8.0548e-05 
17750.0 0.00011359 
17760.0 0.00011816 
17770.0 0.00010946 
17780.0 0.00010228 
17790.0 9.4868e-05 
17800.0 9.518e-05  
17810.0 6.3253e-05 
17820.0 7.094e-05  
17830.0 0.00010008 
17840.0 0.00010065 
17850.0 4.5616e-05 
17860.0 5.4647e-05 
17870.0 0.00013797 
17880.0 7.1267e-05 
17890.0 0.00010467 
17900.0 8.7688e-05 
17910.0 0.00011687 
17920.0 0.00010513 
17930.0 8.3932e-05 
17940.0 7.0059e-05 
17950.0 0.0001087  
17960.0 0.00013024 
17970.0 8.7611e-05 
17980.0 0.00012019 
17990.0 3.7938e-05 
18000.0 0.00011268 
18010.0 3.3429e-05 
18020.0 6.2972e-05 
18030.0 0.00010903 
18040.0 0.00010361 
18050.0 0.00010415 
18060.0 0.00011749 
18070.0 8.847e-05  
18080.0 5.8155e-05 
18090.0 5.3784e-05 
18100.0 4.2556e-05 
18110.0 7.9264e-05 
18120.0 0.00010736 
18130.0 6.3616e-05 
18140.0 8.6012e-05 
18150.0 0.00010069 
18160.0 8.4575e-05 
18170.0 5.7826e-05 
18180.0 0.00012236 
18190.0 2.059e-05  
18200.0 0.00012425 
18210.0 3.8283e-05 
18220.0 0.00013866 
18230.0 5.7317e-05 
18240.0 3.7885e-05 
18250.0 0.0001264  
18260.0 8.393e-05  
18270.0 2.9512e-05 
18280.0 7.508e-05  
18290.0 8.2223e-05 
18300.0 7.5495e-05 
18310.0 0.00012591 
18320.0 7.6149e-05 
18330.0 6.5435e-05 
18340.0 8.18e-05   
18350.0 0.00011787 
18360.0 0.00014113 
18370.0 5.9038e-05 
18380.0 0.00010103 
18390.0 7.7923e-05 
18400.0 5.4121e-05 
18410.0 0.00010027 
18420.0 0.00010332 
